source,destination,permanent,enabled,reason,queueOrder
/service/jasa-pembuatan-software-surabaya,/services/jasa-pembuatan-software-surabaya,true,true,service_namespace_merge,1
/pembuatan-website/toko-online,/services/jasa-pembuatan-website-surabaya,true,true,landing_cluster_to_service_canonical,2
/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,/products/category/karaoke,true,true,legacy_digital_product_to_products_category,3
/product/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb,/products/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb,true,true,product_singular_to_plural,4
/pembuatan-website/harga,/services/jasa-pembuatan-website-surabaya,true,true,landing_cluster_to_service_canonical,5
/it-services/jasa-install-game-dan-isi-game-surabaya,/services/jasa-install-game-dan-isi-game-surabaya,true,true,service_namespace_merge,6
/it-services/jasa-pembuatan-software-surabaya,/services/jasa-pembuatan-software-surabaya,true,true,service_namespace_merge,7
/it-services/jasa-install-ulang-windows-surabaya,/services/jasa-install-ulang-windows-surabaya,true,true,service_namespace_merge,8
/product/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya,/products/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya,true,true,product_singular_to_plural,9
/product/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya,/products/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya,true,true,product_singular_to_plural,10
/product/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb,/products/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb,true,true,product_singular_to_plural,12
/product/hardisk-5tb-63-ribu-lagu-karaoke-klipasli-software-full-ribuan-film,/products/hardisk-5tb-63-ribu-lagu-karaoke-klipasli-software-full-ribuan-film,true,true,product_singular_to_plural,13
/product/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb,/products/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb,true,true,product_singular_to_plural,14
/product/pc-rakitan-gaming-core-i5-2400-ssd-120gb-8gb-500gb-nvidia-gt-1030-2gb,/products/pc-rakitan-gaming-core-i5-2400-ssd-120gb-8gb-500gb-nvidia-gt-1030-2gb,true,true,product_singular_to_plural,15
/product/pc-rakitan-core-i5-4gb-500gb-low-budget-rakit-pc-office-admin,/products/pc-rakitan-core-i5-4gb-500gb-low-budget-rakit-pc-office-admin,true,true,product_singular_to_plural,16
/product/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0,/products/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0,true,true,product_singular_to_plural,17
/product/pc-rakitan-kantor-intel-core-i3-gen2-ram-4gb-ddr3-hdd-500gb,/products/pc-rakitan-kantor-intel-core-i3-gen2-ram-4gb-ddr3-hdd-500gb,true,true,product_singular_to_plural,18
/product/pc-rakitan-player-karaoke-2tb-30-000-lagu-bukan-geisler-nakamichi,/products/pc-rakitan-player-karaoke-2tb-30-000-lagu-bukan-geisler-nakamichi,true,true,product_singular_to_plural,19
/product/1-set-pc-intel-core-i7-ram-16gb-hdd-1tb-ssd-monitor-led-19-inc-pc-only-hdd-500gb-only,/products/1-set-pc-intel-core-i7-ram-16gb-hdd-1tb-ssd-monitor-led-19-inc-pc-only-hdd-500gb-only,true,true,product_singular_to_plural,20
/posts/startup-tech-surabaya-sidoarjo,/blog/startup-tech-surabaya-sidoarjo,true,true,legacy_posts_to_blog,21
/product-tag/jasa-rakit-pc-surabaya,/products/category/jasa-rakit-pc-surabaya,true,true,product_tag_to_products_category,22
/software/pembuatan-software,/services/pembuatan-software,true,true,service_namespace_merge,23
/product/pc-cpu-core-i5-2400-led-24-in-lg-keymouse-ram-8gb-hdd-500gb,/products/pc-cpu-core-i5-2400-led-24-in-lg-keymouse-ram-8gb-hdd-500gb,true,true,product_singular_to_plural,24
/product/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi,/products/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi,true,true,product_singular_to_plural,25
/product/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc,/products/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc,true,true,product_singular_to_plural,26
/product/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi,/products/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi,true,true,product_singular_to_plural,27
/product/paket-speaker-karaoke-jbl-rma-220a-mk10pak-original-10-inch,/products/paket-speaker-karaoke-jbl-rma-220a-mk10pak-original-10-inch,true,true,product_singular_to_plural,28
/product/amd-ryzen-7-ram-16gb-vga-rx-550-4gb-ddr5-ssd-1tb,/products/amd-ryzen-7-ram-16gb-vga-rx-550-4gb-ddr5-ssd-1tb,true,true,product_singular_to_plural,29
/pembuatan-website/surabaya,/services/jasa-pembuatan-website-surabaya,true,true,landing_cluster_to_service_canonical,30
/product/pc-gaming-intel-core-i5-4460-ram-16gb-vga-rx-4gb-ddr5-ssd-512gb,/products/pc-gaming-intel-core-i5-4460-ram-16gb-vga-rx-4gb-ddr5-ssd-512gb,true,true,product_singular_to_plural,31
/product-tag/jual-pc-rakitan-murah-lumajang,/products/category/jual-pc-rakitan-murah-lumajang,true,true,product_tag_to_products_category,32
/product-tag/jual-pc-rakitan-murah-madiun,/products/category/jual-pc-rakitan-murah-madiun,true,true,product_tag_to_products_category,34
/jasa-cetak-buku-morowali-utara/cetak,/services/printing-services,true,true,printing_cluster_to_service_canonical,35
/product-tag/jual-pc-rakitan-murah-mojokerto/page/2,/products/category/jual-pc-rakitan-murah-mojokerto,true,true,product_tag_to_products_category,36
/product-tag/jual-komputer-rakitan-murah-madiun,/products/category/jual-komputer-rakitan-murah-madiun,true,true,product_tag_to_products_category,37
/product/usb-flashdisk-64gb-1200-lagu-karaoke-klip-asli-software-full-v-0,/products/usb-flashdisk-64gb-1200-lagu-karaoke-klip-asli-software-full-v-0,true,true,product_singular_to_plural,38
/product/cpu-core-i7-2600-fullset-ram-4gb-hdd-500gb-led-19in-lg-keymouse,/products/cpu-core-i7-2600-fullset-ram-4gb-hdd-500gb-led-19in-lg-keymouse,true,true,product_singular_to_plural,39
/product-tag/jual-pc-rakitan-murah-mojokerto,/products/category/jual-pc-rakitan-murah-mojokerto,true,true,product_tag_to_products_category,40
/product-tag/jual-komputer-rakitan-murah-tulungagung/page/2,/products/category/jual-komputer-rakitan-murah-tulungagung,true,true,product_tag_to_products_category,41
/product/hardisk-wd-3tb-new-62rb-lagu-karaoke-klip-asli-2019-software-full,/products/hardisk-wd-3tb-new-62rb-lagu-karaoke-klip-asli-2019-software-full,true,true,product_singular_to_plural,42
/product-tag/jasa-rakit-pc-murah-gresik,/products/category/jasa-rakit-pc-murah-gresik,true,true,product_tag_to_products_category,43
/product-tag/jual-komputer-rakitan-murah-bojonegoro,/products/category/jual-komputer-rakitan-murah-bojonegoro,true,true,product_tag_to_products_category,45
/product-tag/jual-pc-rakitan-murah-kediri/page/2,/products/category/jual-pc-rakitan-murah-kediri,true,true,product_tag_to_products_category,46
/product/pc-rakitan-gaming-core-i3-9100f-ssd-120gb-8gb-gtx-1650-4gb,/products/pc-rakitan-gaming-core-i3-9100f-ssd-120gb-8gb-gtx-1650-4gb,true,true,product_singular_to_plural,47
/product-tag/jasa-rakit-pc-sidoarjo/page/2,/products/category/jasa-rakit-pc-sidoarjo,true,true,product_tag_to_products_category,48
/pembuatan-website/sidoarjo,/services/jasa-pembuatan-website-surabaya,true,true,landing_cluster_to_service_canonical,49
/product/pc-rakitan-core-i5-lengkap-siap-pakai-untuk-office-admin,/products/pc-rakitan-core-i5-lengkap-siap-pakai-untuk-office-admin,true,true,product_singular_to_plural,50
/product/pc-intel-core-i5-ram-32gb-ddr4-ssd-512gb-garansi,/products/pc-intel-core-i5-ram-32gb-ddr4-ssd-512gb-garansi,true,true,product_singular_to_plural,52
/digital-product/jasa-isi-film-surabaya,/products/category/karaoke,true,true,legacy_digital_product_to_products_category,53
/product/hardisk-internal-4tb-film-hd-game-pc-konser-musik-fitness-tra-0,/products/hardisk-internal-4tb-film-hd-game-pc-konser-musik-fitness-tra-0,true,true,product_singular_to_plural,54
/product/pc-gaming-intel-core-i7-6700-ram-32gb-ddr4-vga-8gb-ddr5-hdd-1tbssd-8gb-ddr4-vga-onboard-hd,/products/pc-gaming-intel-core-i7-6700-ram-32gb-ddr4-vga-8gb-ddr5-hdd-1tbssd-8gb-ddr4-vga-onboard-hd,true,true,product_singular_to_plural,55
/product/rakit-pc-core-i5-4460-4gb-500gb-pc-rakitan-office-surabaya,/products/rakit-pc-core-i5-4460-4gb-500gb-pc-rakitan-office-surabaya,true,true,product_singular_to_plural,56
/rekomendasi-rakit-pc-5-jutaan/comment-page-1,/rekomendasi-rakit-pc-5-jutaan,true,true,comment_pagination_to_canonical_post,58
/product/1set-pc-gaming-core-i5-3470-ram-16gb-vga-gtx-4gb-ddr5-monitor-22-inc,/products/1set-pc-gaming-core-i5-3470-ram-16gb-vga-gtx-4gb-ddr5-monitor-22-inc,true,true,product_singular_to_plural,59
/product/rakit-pc-core-i3-2120-4gb-500gb-pc-rakitan-surabaya,/products/rakit-pc-core-i3-2120-4gb-500gb-pc-rakitan-surabaya,true,true,product_singular_to_plural,60
/product/kalender-dinding-2,/products/kalender-dinding-2,true,true,product_singular_to_plural,61
/shop/page/5,/blog,true,true,pagination_to_canonical_listing,62
/product-tag/jual-komputer-rakitan-murah-banyuwangi,/products/category/jual-komputer-rakitan-murah-banyuwangi,true,true,product_tag_to_products_category,63
/posts/smart-city-surabaya-teknologi,/blog/smart-city-surabaya-teknologi,true,true,legacy_posts_to_blog,64
/product-tag/jual-komputer-rakitan-murah-ngawi/page/2,/products/category/jual-komputer-rakitan-murah-ngawi,true,true,product_tag_to_products_category,65
/product/rakit-pc-core-i5-4gb-500gb-pc-rakitan-office-surabaya,/products/rakit-pc-core-i5-4gb-500gb-pc-rakitan-office-surabaya,true,true,product_singular_to_plural,66
/product-tag/jual-pc-rakitan-murah-magetan-pamekasan,/products/category/jual-pc-rakitan-murah-magetan-pamekasan,true,true,product_tag_to_products_category,67
/product-tag/jual-pc-rakitan-murah-madura/page/2,/products/category/jual-pc-rakitan-murah-madura,true,true,product_tag_to_products_category,68
/posts/toko-online-surabaya,/blog/toko-online-surabaya,true,true,legacy_posts_to_blog,69
/shop/page/8,/blog,true,true,pagination_to_canonical_listing,70
/product-tag/jual-komputer-rakitan-gresik/page/2,/products/category/jual-komputer-rakitan-gresik,true,true,product_tag_to_products_category,71
/product-category/karaoke,/products/category/karaoke,true,true,legacy_product_category_to_products_category,72
/product/kalender-dinding,/products/kalender-dinding,true,true,product_singular_to_plural,74
/product/hardisk-internal-1tb-20-ribu-lagu-karaoke-plus-software-karaok-0,/products/hardisk-internal-1tb-20-ribu-lagu-karaoke-plus-software-karaok-0,true,true,product_singular_to_plural,75
/product-tag/jual-pc-rakitan-murah-madura,/products/category/jual-pc-rakitan-murah-madura,true,true,product_tag_to_products_category,76
/tag/jasa-recovery-data-laptop-murah-madiun,/services/it-support,true,true,legacy_tag_it_support_intent_to_service,77
/shop/page/3,/blog,true,true,pagination_to_canonical_listing,80
/product/hardisk-eksternal-4tb-full-film-hd-game-pc-konser-musik-fitnes-0,/products/hardisk-eksternal-4tb-full-film-hd-game-pc-konser-musik-fitnes-0,true,true,product_singular_to_plural,81
/product/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0,/products/hardisk-eksternal-1tb-full-isi-film-hd-game-pc-dan-lainnya-0,true,true,product_singular_to_plural,82
/product/pc-intel-core-i7-monitor,/products/pc-intel-core-i7-monitor,true,true,product_singular_to_plural,83
/product-tag/jual-pc-rakitan-murah-nganjuk/page/2,/products/category/jual-pc-rakitan-murah-nganjuk,true,true,product_tag_to_products_category,84
/product-tag/jual-pc-rakitan-murah-blitar/page/2,/products/category/jual-pc-rakitan-murah-blitar,true,true,product_tag_to_products_category,85
/product/low-budget-pc-rakitan-gaming-core-i5-2400-8gb-1030-2gb-rakit-pc-2,/products/low-budget-pc-rakitan-gaming-core-i5-2400-8gb-1030-2gb-rakit-pc-2,true,true,product_singular_to_plural,86
/product/pc-server-anbk-unbk-intel-xeon-8-cpus-ram-16gb-hdd-1tb-dual-lan,/products/pc-server-anbk-unbk-intel-xeon-8-cpus-ram-16gb-hdd-1tb-dual-lan,true,true,product_singular_to_plural,87
