queueOrder,page,oldPath,clicks,impressions,priorityScore,legacyType,suggestedTargetPath,proposedTargetPath,decisionType,reasonCode,confidence,curationStatus,finalDecision,reviewStatus,finalTargetPath,reviewerNotes,reviewedAt,reviewVersion
3,https://www.kotacom.id/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,38,929,34.1,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
53,https://www.kotacom.id/digital-product/jasa-isi-film-surabaya,/digital-product/jasa-isi-film-surabaya,0,49,19.65,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
58,https://www.kotacom.id/rekomendasi-rakit-pc-5-jutaan/comment-page-1,/rekomendasi-rakit-pc-5-jutaan/comment-page-1,0,44,7.61,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
72,https://www.kotacom.id/product-category/karaoke,/product-category/karaoke,0,34,15.79,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
77,https://www.kotacom.id/tag/jasa-recovery-data-laptop-murah-madiun,/tag/jasa-recovery-data-laptop-murah-madiun,0,33,8.13,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
140,https://www.kotacom.id/digital-product/list-software,/digital-product/list-software,0,17,7.02,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
145,https://www.kotacom.id/tag/service-mac-gresik,/tag/service-mac-gresik,0,15,13.6,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
158,https://www.kotacom.id/projects,/projects,0,13,16.35,project_index,/services,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
164,https://www.kotacom.id/tag/service-macbook-murah-situbondo,/tag/service-macbook-murah-situbondo,2,12,11.11,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
167,https://www.kotacom.id/product-category/karaoke/player-karaoke,/product-category/karaoke/player-karaoke,0,12,8.72,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
172,https://www.kotacom.id/tag/jasa-recovery-data-laptop-murah-mojokerto,/tag/jasa-recovery-data-laptop-murah-mojokerto,1,11,16.47,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
174,https://www.kotacom.id/product-category/rakit-pc,/product-category/rakit-pc,0,11,15.5,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
190,https://www.kotacom.id/tag/service-laptop-pacet,/tag/service-laptop-pacet,1,9,8.96,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
202,https://www.kotacom.id/tag/jual-game-pc-madiun,/tag/jual-game-pc-madiun,0,9,5,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
206,https://www.kotacom.id/tag/service-macbook-murah-ngawi,/tag/service-macbook-murah-ngawi,0,8,16.42,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
207,https://www.kotacom.id/tag/jasa-recovery-data-laptop-murah-ponorogo,/tag/jasa-recovery-data-laptop-murah-ponorogo,0,8,15.72,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
208,https://www.kotacom.id/tag/service-pc-murah-magetan-pamekasan,/tag/service-pc-murah-magetan-pamekasan,0,8,14.42,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
219,https://www.kotacom.id/tag/service-pc-murah-trenggalek,/tag/service-pc-murah-trenggalek,0,7,15.7,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
223,https://www.kotacom.id/tag/service-laptop-murah-lamongan,/tag/service-laptop-murah-lamongan,0,7,14.9,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
225,https://www.kotacom.id/tag/service-macbook-murah-nganjuk,/tag/service-macbook-murah-nganjuk,0,7,14.78,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
227,https://www.kotacom.id/tag/jasa-cetak-buku-polewali-mandar,/tag/jasa-cetak-buku-polewali-mandar,0,7,13.3,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
228,https://www.kotacom.id/tag/jasa-recovery-data-laptop-murah-probolinggo,/tag/jasa-recovery-data-laptop-murah-probolinggo,0,7,13.3,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
229,https://www.kotacom.id/download/blog,/download/blog,0,7,12.84,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
231,https://www.kotacom.id/download/category/uncategorized,/download/category/uncategorized,0,7,11.81,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
233,https://www.kotacom.id/product-category/rakit-pc/rakit-pc-gaming,/product-category/rakit-pc/rakit-pc-gaming,0,7,9.3,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
236,https://www.kotacom.id/product-category/rakit-pc-gaming,/product-category/rakit-pc-gaming,0,7,5.61,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,pending_manual_intent,pending,,No deterministic mapping rule matched.,2026-04-01,v2
