queueOrder,page,oldPath,clicks,impressions,priorityScore,legacyType,suggestedTargetPath,proposedTargetPath,decisionType,reasonCode,confidence,curationStatus,reviewerNotes
1,https://www.kotacom.id/service/jasa-pembuatan-software-surabaya,/service/jasa-pembuatan-software-surabaya,6,2175,21.13,other_nested,,/services/jasa-pembuatan-software-surabaya,redirect,service_namespace_merge,low,pending_review,
2,https://www.kotacom.id/pembuatan-website/toko-online,/pembuatan-website/toko-online,0,957,12.93,other_nested,,/services/jasa-pembuatan-website-surabaya,redirect,landing_cluster_to_service_canonical,low,pending_review,
3,https://www.kotacom.id/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,38,929,34.1,other_nested,,,manual_review,manual_intent_review_required,low,pending_review,
4,https://www.kotacom.id/product/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb,/product/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb,7,655,21.43,other_nested,,/products/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb,redirect,product_singular_to_plural,medium,pending_review,
5,https://www.kotacom.id/pembuatan-website/harga,/pembuatan-website/harga,1,613,14.57,other_nested,,/services/jasa-pembuatan-website-surabaya,redirect,landing_cluster_to_service_canonical,low,pending_review,
6,https://www.kotacom.id/it-services/jasa-install-game-dan-isi-game-surabaya,/it-services/jasa-install-game-dan-isi-game-surabaya,35,568,34.99,other_nested,,/services/jasa-install-game-dan-isi-game-surabaya,redirect,service_namespace_merge,low,pending_review,
7,https://www.kotacom.id/it-services/jasa-pembuatan-software-surabaya,/it-services/jasa-pembuatan-software-surabaya,0,459,11.65,other_nested,,/services/jasa-pembuatan-software-surabaya,redirect,service_namespace_merge,low,pending_review,
8,https://www.kotacom.id/it-services/jasa-install-ulang-windows-surabaya,/it-services/jasa-install-ulang-windows-surabaya,6,351,23.45,other_nested,,/services/jasa-install-ulang-windows-surabaya,redirect,service_namespace_merge,low,pending_review,
9,https://www.kotacom.id/product/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya,/product/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya,6,280,21.8,other_nested,,/products/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya,redirect,product_singular_to_plural,medium,pending_review,
10,https://www.kotacom.id/product/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya,/product/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya,4,272,21.04,other_nested,,/products/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya,redirect,product_singular_to_plural,medium,pending_review,
