queueOrder,page,oldPath,clicks,impressions,priorityScore,legacyType,suggestedTargetPath,proposedTargetPath,decisionType,reasonCode,confidence,curationStatus,finalDecision,reviewStatus,finalTargetPath,reviewerNotes,reviewedAt,reviewVersion
1,https://www.kotacom.id/service/jasa-pembuatan-software-surabaya,/service/jasa-pembuatan-software-surabaya,6,2175,21.13,other_nested,,/services/jasa-pembuatan-software-surabaya,redirect,service_namespace_merge,low,pending_review,approved_redirect,approved,/services/jasa-pembuatan-software-surabaya,Deterministic mapping by route contract v1.,2026-04-01,v2
2,https://www.kotacom.id/pembuatan-website/toko-online,/pembuatan-website/toko-online,0,957,12.93,other_nested,,/services/jasa-pembuatan-website-surabaya,redirect,landing_cluster_to_service_canonical,low,pending_review,approved_redirect,approved,/services/jasa-pembuatan-website-surabaya,Deterministic mapping by route contract v1.,2026-04-01,v2
3,https://www.kotacom.id/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,/digital-product/jual-dvd-game-surabaya-jasa-install-game-pc-surabaya-terbaru,38,929,34.1,other_nested,,/products/category/karaoke,manual_review,legacy_digital_product_to_products_category,low,pending_review,approved_redirect,approved_low_confidence,/products/category/karaoke,Manual intent mapping v3 (legacy_digital_product_to_products_category).,2026-04-01,v3
4,https://www.kotacom.id/product/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb,/product/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb,7,655,21.43,other_nested,,/products/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-gaming-amd-am4-ryzen-7-2700-ssd-120gb-8gb-500gb,Deterministic mapping by route contract v1.,2026-04-01,v2
5,https://www.kotacom.id/pembuatan-website/harga,/pembuatan-website/harga,1,613,14.57,other_nested,,/services/jasa-pembuatan-website-surabaya,redirect,landing_cluster_to_service_canonical,low,pending_review,approved_redirect,approved,/services/jasa-pembuatan-website-surabaya,Deterministic mapping by route contract v1.,2026-04-01,v2
6,https://www.kotacom.id/it-services/jasa-install-game-dan-isi-game-surabaya,/it-services/jasa-install-game-dan-isi-game-surabaya,35,568,34.99,other_nested,,/services/jasa-install-game-dan-isi-game-surabaya,redirect,service_namespace_merge,low,pending_review,approved_redirect,approved,/services/jasa-install-game-dan-isi-game-surabaya,Deterministic mapping by route contract v1.,2026-04-01,v2
7,https://www.kotacom.id/it-services/jasa-pembuatan-software-surabaya,/it-services/jasa-pembuatan-software-surabaya,0,459,11.65,other_nested,,/services/jasa-pembuatan-software-surabaya,redirect,service_namespace_merge,low,pending_review,approved_redirect,approved,/services/jasa-pembuatan-software-surabaya,Deterministic mapping by route contract v1.,2026-04-01,v2
8,https://www.kotacom.id/it-services/jasa-install-ulang-windows-surabaya,/it-services/jasa-install-ulang-windows-surabaya,6,351,23.45,other_nested,,/services/jasa-install-ulang-windows-surabaya,redirect,service_namespace_merge,low,pending_review,approved_redirect,approved,/services/jasa-install-ulang-windows-surabaya,Deterministic mapping by route contract v1.,2026-04-01,v2
9,https://www.kotacom.id/product/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya,/product/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya,6,280,21.8,other_nested,,/products/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-core-i3-4160-gen-4-4gb-500gb-rakit-pc-surabaya,Deterministic mapping by route contract v1.,2026-04-01,v2
10,https://www.kotacom.id/product/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya,/product/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya,4,272,21.04,other_nested,,/products/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-core-i3-3210-gen-3-4gb-500gb-rakit-pc-surabaya,Deterministic mapping by route contract v1.,2026-04-01,v2
11,https://www.kotacom.id/projects/restaurant-management-system,/projects/restaurant-management-system,0,270,10.73,project_detail,/services,/projects/restaurant-management-system,keep_or_redirect,projects_direct,medium,pending_review,approved_keep_or_redirect,in_review,/projects/restaurant-management-system,Target path pattern is valid; verify content existence in CMS before final redirect.,2026-04-01,v2
12,https://www.kotacom.id/product/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb,/product/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb,4,207,21.71,other_nested,,/products/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-gaming-ryzen-3-2200g-ssd-120gb-8gb-500gb,Deterministic mapping by route contract v1.,2026-04-01,v2
13,https://www.kotacom.id/product/hardisk-5tb-63-ribu-lagu-karaoke-klipasli-software-full-ribuan-film,/product/hardisk-5tb-63-ribu-lagu-karaoke-klipasli-software-full-ribuan-film,2,201,14.09,other_nested,,/products/hardisk-5tb-63-ribu-lagu-karaoke-klipasli-software-full-ribuan-film,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/hardisk-5tb-63-ribu-lagu-karaoke-klipasli-software-full-ribuan-film,Deterministic mapping by route contract v1.,2026-04-01,v2
14,https://www.kotacom.id/product/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb,/product/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb,4,197,18.42,other_nested,,/products/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-gaming-core-i7-8700-ssd-120gb-8gb-gtx-1650-4gb,Deterministic mapping by route contract v1.,2026-04-01,v2
15,https://www.kotacom.id/product/pc-rakitan-gaming-core-i5-2400-ssd-120gb-8gb-500gb-nvidia-gt-1030-2gb,/product/pc-rakitan-gaming-core-i5-2400-ssd-120gb-8gb-500gb-nvidia-gt-1030-2gb,3,170,17.2,other_nested,,/products/pc-rakitan-gaming-core-i5-2400-ssd-120gb-8gb-500gb-nvidia-gt-1030-2gb,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-gaming-core-i5-2400-ssd-120gb-8gb-500gb-nvidia-gt-1030-2gb,Deterministic mapping by route contract v1.,2026-04-01,v2
16,https://www.kotacom.id/product/pc-rakitan-core-i5-4gb-500gb-low-budget-rakit-pc-office-admin,/product/pc-rakitan-core-i5-4gb-500gb-low-budget-rakit-pc-office-admin,1,153,13.19,other_nested,,/products/pc-rakitan-core-i5-4gb-500gb-low-budget-rakit-pc-office-admin,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-core-i5-4gb-500gb-low-budget-rakit-pc-office-admin,Deterministic mapping by route contract v1.,2026-04-01,v2
17,https://www.kotacom.id/product/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0,/product/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0,4,142,22.91,other_nested,,/products/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/flashdisk-sandisk-16-gb-300-lagu-karaoke-hits-update-terbaru-0,Deterministic mapping by route contract v1.,2026-04-01,v2
18,https://www.kotacom.id/product/pc-rakitan-kantor-intel-core-i3-gen2-ram-4gb-ddr3-hdd-500gb,/product/pc-rakitan-kantor-intel-core-i3-gen2-ram-4gb-ddr3-hdd-500gb,0,132,18.48,other_nested,,/products/pc-rakitan-kantor-intel-core-i3-gen2-ram-4gb-ddr3-hdd-500gb,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-kantor-intel-core-i3-gen2-ram-4gb-ddr3-hdd-500gb,Deterministic mapping by route contract v1.,2026-04-01,v2
19,https://www.kotacom.id/product/pc-rakitan-player-karaoke-2tb-30-000-lagu-bukan-geisler-nakamichi,/product/pc-rakitan-player-karaoke-2tb-30-000-lagu-bukan-geisler-nakamichi,1,130,12.92,other_nested,,/products/pc-rakitan-player-karaoke-2tb-30-000-lagu-bukan-geisler-nakamichi,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-player-karaoke-2tb-30-000-lagu-bukan-geisler-nakamichi,Deterministic mapping by route contract v1.,2026-04-01,v2
20,https://www.kotacom.id/product/1-set-pc-intel-core-i7-ram-16gb-hdd-1tb-ssd-monitor-led-19-inc-pc-only-hdd-500gb-only,/product/1-set-pc-intel-core-i7-ram-16gb-hdd-1tb-ssd-monitor-led-19-inc-pc-only-hdd-500gb-only,3,126,15.35,other_nested,,/products/1-set-pc-intel-core-i7-ram-16gb-hdd-1tb-ssd-monitor-led-19-inc-pc-only-hdd-500gb-only,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/1-set-pc-intel-core-i7-ram-16gb-hdd-1tb-ssd-monitor-led-19-inc-pc-only-hdd-500gb-only,Deterministic mapping by route contract v1.,2026-04-01,v2
21,https://www.kotacom.id/posts/startup-tech-surabaya-sidoarjo,/posts/startup-tech-surabaya-sidoarjo,2,126,15.55,other_nested,,/blog/startup-tech-surabaya-sidoarjo,redirect,legacy_posts_to_blog,high,pending_review,approved_redirect,approved,/blog/startup-tech-surabaya-sidoarjo,Deterministic mapping by route contract v1.,2026-04-01,v2
22,https://www.kotacom.id/product-tag/jasa-rakit-pc-surabaya,/product-tag/jasa-rakit-pc-surabaya,2,121,22.63,other_nested,,/products/category/jasa-rakit-pc-surabaya,redirect,product_tag_to_products_category,medium,pending_review,approved_redirect,approved,/products/category/jasa-rakit-pc-surabaya,Deterministic mapping by route contract v1.,2026-04-01,v2
23,https://www.kotacom.id/software/pembuatan-software,/software/pembuatan-software,0,108,9.15,other_nested,,/services/pembuatan-software,redirect,service_namespace_merge,low,pending_review,approved_redirect,approved,/services/pembuatan-software,Deterministic mapping by route contract v1.,2026-04-01,v2
24,https://www.kotacom.id/product/pc-cpu-core-i5-2400-led-24-in-lg-keymouse-ram-8gb-hdd-500gb,/product/pc-cpu-core-i5-2400-led-24-in-lg-keymouse-ram-8gb-hdd-500gb,1,104,12.54,other_nested,,/products/pc-cpu-core-i5-2400-led-24-in-lg-keymouse-ram-8gb-hdd-500gb,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-cpu-core-i5-2400-led-24-in-lg-keymouse-ram-8gb-hdd-500gb,Deterministic mapping by route contract v1.,2026-04-01,v2
25,https://www.kotacom.id/product/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi,/product/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi,5,102,17.29,other_nested,,/products/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-rakitan-player-karaoke-1tb-15-000-lagu-bukan-geisler-nakamichi,Deterministic mapping by route contract v1.,2026-04-01,v2
26,https://www.kotacom.id/product/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc,/product/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc,4,102,24.08,other_nested,,/products/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-intel-core-i7-6700-ram-32gb-ssd-1tb-monitor-led-24-inc,Deterministic mapping by route contract v1.,2026-04-01,v2
27,https://www.kotacom.id/product/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi,/product/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi,1,96,19.17,other_nested,,/products/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/pc-karaoke-2tb-monitor-touchscreen-audiobank-kjb-nakamichi,Deterministic mapping by route contract v1.,2026-04-01,v2
28,https://www.kotacom.id/product/paket-speaker-karaoke-jbl-rma-220a-mk10pak-original-10-inch,/product/paket-speaker-karaoke-jbl-rma-220a-mk10pak-original-10-inch,0,86,18.5,other_nested,,/products/paket-speaker-karaoke-jbl-rma-220a-mk10pak-original-10-inch,redirect,product_singular_to_plural,medium,pending_review,approved_redirect,approved,/products/paket-speaker-karaoke-jbl-rma-220a-mk10pak-original-10-inch,Deterministic mapping by route contract v1.,2026-04-01,v2
